image_path,true_idx,true_class,pred_idx,pred_class,top1_confidence,top5_classes,top5_probabilities,is_correct
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1011328.jpg,0,apple_pie,92,spring_rolls,0.05598907917737961,"[""spring_rolls"", ""ceviche"", ""breakfast_burrito"", ""club_sandwich"", ""deviled_eggs""]","[0.05598907917737961, 0.042154137045145035, 0.027178600430488586, 0.026815447956323624, 0.023759732022881508]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/101251.jpg,0,apple_pie,32,dumplings,0.11838846653699875,"[""dumplings"", ""macaroni_and_cheese"", ""spaghetti_carbonara"", ""hummus"", ""chicken_quesadilla""]","[0.11838846653699875, 0.0640227422118187, 0.06032277271151543, 0.0580766461789608, 0.05593903362751007]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1034399.jpg,0,apple_pie,51,guacamole,0.031180748715996742,"[""guacamole"", ""nachos"", ""hamburger"", ""gyoza"", ""sashimi""]","[0.031180748715996742, 0.02478897199034691, 0.02464986778795719, 0.023765018209815025, 0.02352803200483322]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/103801.jpg,0,apple_pie,65,mussels,0.01895514689385891,"[""mussels"", ""cup_cakes"", ""french_fries"", ""ice_cream"", ""nachos""]","[0.01895514689385891, 0.018217427656054497, 0.017916563898324966, 0.017636235803365707, 0.017065756022930145]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1038694.jpg,0,apple_pie,39,foie_gras,0.026413654908537865,"[""foie_gras"", ""grilled_salmon"", ""scallops"", ""baklava"", ""samosa""]","[0.026413654908537865, 0.024241330102086067, 0.0241585373878479, 0.024133656173944473, 0.021736228838562965]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1047447.jpg,0,apple_pie,78,poutine,0.11281178146600723,"[""poutine"", ""fish_and_chips"", ""onion_rings"", ""chicken_wings"", ""hot_and_sour_soup""]","[0.11281178146600723, 0.06420359760522842, 0.062469176948070526, 0.05366179719567299, 0.0513528510928154]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1068632.jpg,0,apple_pie,23,churros,0.03595277667045593,"[""churros"", ""chocolate_mousse"", ""carrot_cake"", ""chocolate_cake"", ""creme_brulee""]","[0.03595277667045593, 0.029797883704304695, 0.027262207120656967, 0.02705729752779007, 0.02631024457514286]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/110043.jpg,0,apple_pie,46,garlic_bread,0.051494352519512177,"[""garlic_bread"", ""macaroni_and_cheese"", ""paella"", ""nachos"", ""grilled_cheese_sandwich""]","[0.051494352519512177, 0.041600510478019714, 0.035488199442625046, 0.032417889684438705, 0.030665641650557518]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1106961.jpg,0,apple_pie,62,macaroni_and_cheese,0.03421827778220177,"[""macaroni_and_cheese"", ""grilled_cheese_sandwich"", ""chicken_quesadilla"", ""omelette"", ""gyoza""]","[0.03421827778220177, 0.030271638184785843, 0.026794644072651863, 0.025508318096399307, 0.025211744010448456]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1113017.jpg,0,apple_pie,62,macaroni_and_cheese,0.058783773332834244,"[""macaroni_and_cheese"", ""french_fries"", ""spaghetti_carbonara"", ""fried_calamari"", ""fish_and_chips""]","[0.058783773332834244, 0.04011355713009834, 0.03507853299379349, 0.03292315453290939, 0.03189759701490402]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/116705.jpg,0,apple_pie,92,spring_rolls,0.02834996022284031,"[""spring_rolls"", ""apple_pie"", ""french_fries"", ""samosa"", ""dumplings""]","[0.02834996022284031, 0.02649027481675148, 0.023305561393499374, 0.023024674504995346, 0.023013558238744736]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1167170.jpg,0,apple_pie,0,apple_pie,0.04020266607403755,"[""apple_pie"", ""baklava"", ""creme_brulee"", ""pancakes"", ""carrot_cake""]","[0.04020266607403755, 0.035283882170915604, 0.03346146643161774, 0.03305506333708763, 0.026738056913018227]",True
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1174330.jpg,0,apple_pie,38,fish_and_chips,0.05567064508795738,"[""fish_and_chips"", ""french_fries"", ""fried_calamari"", ""onion_rings"", ""poutine""]","[0.05567064508795738, 0.05322873964905739, 0.04731579124927521, 0.04644842818379402, 0.03367689996957779]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1180600.jpg,0,apple_pie,0,apple_pie,0.045357655733823776,"[""apple_pie"", ""baklava"", ""omelette"", ""samosa"", ""grilled_cheese_sandwich""]","[0.045357655733823776, 0.035955365747213364, 0.03247859328985214, 0.02764991670846939, 0.024910639971494675]",True
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1235282.jpg,0,apple_pie,67,omelette,0.06706830859184265,"[""omelette"", ""macaroni_and_cheese"", ""grilled_cheese_sandwich"", ""fish_and_chips"", ""club_sandwich""]","[0.06706830859184265, 0.04976390302181244, 0.042841311544179916, 0.042471740394830704, 0.03509022668004036]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1269202.jpg,0,apple_pie,90,spaghetti_bolognese,0.14055806398391724,"[""spaghetti_bolognese"", ""carrot_cake"", ""pad_thai"", ""grilled_cheese_sandwich"", ""lasagna""]","[0.14055806398391724, 0.0574772022664547, 0.047367341816425323, 0.041080180555582047, 0.03684888407588005]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1272958.jpg,0,apple_pie,82,ravioli,0.05905891954898834,"[""ravioli"", ""french_onion_soup"", ""creme_brulee"", ""lobster_bisque"", ""macaroni_and_cheese""]","[0.05905891954898834, 0.057351965457201004, 0.056751661002635956, 0.05312216654419899, 0.04072399064898491]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1284428.jpg,0,apple_pie,19,chicken_quesadilla,0.023050108924508095,"[""chicken_quesadilla"", ""nachos"", ""deviled_eggs"", ""guacamole"", ""tacos""]","[0.023050108924508095, 0.02122686617076397, 0.020512036979198456, 0.01945079304277897, 0.01828768663108349]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1295996.jpg,0,apple_pie,44,fried_rice,0.10883428156375885,"[""fried_rice"", ""garlic_bread"", ""chicken_quesadilla"", ""macaroni_and_cheese"", ""spaghetti_carbonara""]","[0.10883428156375885, 0.06152813881635666, 0.05479741096496582, 0.04689498990774155, 0.039786119014024734]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/129668.jpg,0,apple_pie,27,creme_brulee,0.05347727984189987,"[""creme_brulee"", ""bread_pudding"", ""ravioli"", ""apple_pie"", ""lobster_bisque""]","[0.05347727984189987, 0.04324066638946533, 0.03328894451260567, 0.033195141702890396, 0.03302135691046715]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1321400.jpg,0,apple_pie,14,carrot_cake,0.03557417169213295,"[""carrot_cake"", ""tiramisu"", ""cheesecake"", ""panna_cotta"", ""foie_gras""]","[0.03557417169213295, 0.028073979541659355, 0.027447232976555824, 0.02622848190367222, 0.026007136330008507]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1327259.jpg,0,apple_pie,72,pancakes,0.034324657171964645,"[""pancakes"", ""nachos"", ""chicken_quesadilla"", ""macaroni_and_cheese"", ""gyoza""]","[0.034324657171964645, 0.030291728675365448, 0.028630094602704048, 0.026488902047276497, 0.025439050048589706]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1332030.jpg,0,apple_pie,27,creme_brulee,0.12245296686887741,"[""creme_brulee"", ""bread_pudding"", ""hot_and_sour_soup"", ""peking_duck"", ""panna_cotta""]","[0.12245296686887741, 0.09008737653493881, 0.06691771000623703, 0.05973449721932411, 0.053213492035865784]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1364847.jpg,0,apple_pie,62,macaroni_and_cheese,0.1096162274479866,"[""macaroni_and_cheese"", ""omelette"", ""grilled_cheese_sandwich"", ""fish_and_chips"", ""chicken_quesadilla""]","[0.1096162274479866, 0.0770433247089386, 0.05765654891729355, 0.05160069093108177, 0.04217858985066414]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1375404.jpg,0,apple_pie,92,spring_rolls,0.04701997712254524,"[""spring_rolls"", ""lobster_bisque"", ""samosa"", ""apple_pie"", ""baklava""]","[0.04701997712254524, 0.04504925385117531, 0.04403048753738403, 0.0387389250099659, 0.034835588186979294]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1398774.jpg,0,apple_pie,92,spring_rolls,0.043618280440568924,"[""spring_rolls"", ""samosa"", ""churros"", ""hot_and_sour_soup"", ""panna_cotta""]","[0.043618280440568924, 0.03654719516634941, 0.030055150389671326, 0.026347598060965538, 0.02499948814511299]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1420999.jpg,0,apple_pie,17,cheese_plate,0.03405947983264923,"[""cheese_plate"", ""dumplings"", ""cheesecake"", ""clam_chowder"", ""cup_cakes""]","[0.03405947983264923, 0.033389266580343246, 0.02928156778216362, 0.027985256165266037, 0.026613334193825722]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1429866.jpg,0,apple_pie,32,dumplings,0.04191212356090546,"[""dumplings"", ""apple_pie"", ""french_fries"", ""baklava"", ""gyoza""]","[0.04191212356090546, 0.03697795420885086, 0.02784089744091034, 0.027818351984024048, 0.027401914820075035]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1444702.jpg,0,apple_pie,94,strawberry_shortcake,0.05653989315032959,"[""strawberry_shortcake"", ""cheesecake"", ""panna_cotta"", ""red_velvet_cake"", ""tiramisu""]","[0.05653989315032959, 0.04987267404794693, 0.04238316789269447, 0.04197823256254196, 0.03774549439549446]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1461580.jpg,0,apple_pie,60,lobster_bisque,0.03901120275259018,"[""lobster_bisque"", ""clam_chowder"", ""deviled_eggs"", ""spring_rolls"", ""creme_brulee""]","[0.03901120275259018, 0.036241378635168076, 0.022020259872078896, 0.02125764638185501, 0.021200720220804214]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1469191.jpg,0,apple_pie,60,lobster_bisque,0.03901120275259018,"[""lobster_bisque"", ""clam_chowder"", ""deviled_eggs"", ""spring_rolls"", ""creme_brulee""]","[0.03901120275259018, 0.036241378635168076, 0.022020259872078896, 0.02125764638185501, 0.021200720220804214]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1472631.jpg,0,apple_pie,59,lasagna,0.17027731239795685,"[""lasagna"", ""chicken_curry"", ""creme_brulee"", ""shrimp_and_grits"", ""ravioli""]","[0.17027731239795685, 0.17000925540924072, 0.07268726825714111, 0.06870909780263901, 0.06690797954797745]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1510125.jpg,0,apple_pie,52,gyoza,0.05354975536465645,"[""gyoza"", ""pancakes"", ""macaroni_and_cheese"", ""hot_and_sour_soup"", ""french_onion_soup""]","[0.05354975536465645, 0.04663792997598648, 0.04089868813753128, 0.04046100750565529, 0.035524800419807434]",False
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1510930.jpg,0,apple_pie,0,apple_pie,0.05901886895298958,"[""apple_pie"", ""french_onion_soup"", ""bread_pudding"", ""baklava"", ""gnocchi""]","[0.05901886895298958, 0.052874740213155746, 0.046724677085876465, 0.03565402328968048, 0.034643542021512985]",True
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1514110.jpg,0,apple_pie,0,apple_pie,0.0379364900290966,"[""apple_pie"", ""gyoza"", ""french_fries"", ""french_onion_soup"", ""grilled_cheese_sandwich""]","[0.0379364900290966, 0.03382515907287598, 0.029608862474560738, 0.024506548419594765, 0.02375161461532116]",True
/content/food101-cnn/data/processed/f8e106c00724/images/apple_pie/1526484.jpg,0,apple_pie,73,panna_cotta,0.055737096816301346,"[""panna_cotta"", ""clam_chowder"", ""lobster_bisque"", ""cheesecake"", ""foie_gras""]","[0.055737096816301346, 0.04955930635333061, 0.04711832478642464, 0.039686813950538635, 0.03133660927414894]",False
